event.id,heading,height.above.ellipsoid,migration.stage,optional,sensor,timestamps,trackId,individual.local.identifier,visible,individual.id,deployment.id,tag.id,study.id,sensor.type.id,tag.local.identifier,individual.taxon.canonical.name,migration.stage.standard,study.name,birth.hatch.latitude,birth.hatch.longitude,comments,death.comments,earliest.date.born,exact.date.of.birth,group.id,latest.date.born,marker.id,mates,mortality.date,mortality.latitude,mortality.longitude,mortality.type,nick.name,offspring,parents,ring.id,sex,siblings,taxon.canonical.name,timestamp.start,timestamp.end,number.of.events,number.of.deployments,sensor.type.ids,taxon.detail,animalName,geometry,location.long,location.lat
1149956754,1.26,19.0,flight,True,GPS,2013-09-08 07:56:00,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (50.225233 68.038133),50.225233,68.038133
1149956755,1.8,94.0,flight,True,GPS,2013-09-08 10:14:09,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (49.92305 67.798317),49.92305,67.798317
1149956756,0.77,46.0,stopover,True,GPS,2013-09-08 22:40:44,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.118117 67.25725),48.118117,67.25725
1149956757,1.25,26.0,stopover,True,GPS,2013-09-09 13:26:25,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.085683 67.254933),48.085683,67.254933
1149956758,0.84,38.0,stopover,True,GPS,2013-09-09 20:34:38,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (47.983217 67.121633),47.983217,67.121633
1149956759,1.61,39.0,stopover,True,GPS,2013-09-10 06:59:59,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (47.97325 67.125867),47.97325,67.125867
1149956760,2.07,91.0,stopover,True,GPS,2013-09-10 09:32:20,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (47.975883 67.125367),47.975883,67.125367
1149956761,0.88,28.0,stopover,True,GPS,2013-09-10 11:50:45,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (47.974367 67.11255),47.974367,67.11255
1149956762,1.35,17.0,stopover,True,GPS,2013-09-10 14:23:49,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (47.98535 67.131067),47.98535,67.131067
1149956763,1.09,34.0,stopover,True,GPS,2013-09-10 16:41:48,X767,X767,True,133992714,137254371,133992715,133992043,653,767,Anser albifrons,fall-migration,Migration timing in white-fronted geese (data from Kölzsch et al. 2016),,,,,,,,,,,,,,,,,,,m,,Anser albifrons,2013-09-05 18:33:37.000,2013-09-30 07:18:07.000,112,1,gps,,767_137254371,POINT (48.09425 67.11545),48.09425,67.11545
