"event.id","location.long","location.lat","heading","height.above.ellipsoid","migration.stage","optional","sensor","timestamps","trackId","individual.local.identifier","visible","individual.id","deployment.id","tag.id","study.id","sensor.type.id","tag.local.identifier","individual.taxon.canonical.name","migration.stage.standard","study.name","birth.hatch.latitude","birth.hatch.longitude","comments","death.comments","earliest.date.born","exact.date.of.birth","group.id","latest.date.born","marker.id","mates","mortality.date","mortality.latitude","mortality.longitude","mortality.type","nick.name","offspring","parents","ring.id","sex","siblings","taxon.canonical.name","timestamp.start","timestamp.end","number.of.events","number.of.deployments","sensor.type.ids","taxon.detail","animalName"
1149956752,50.333933,68.103833,2.3,42,"flight",TRUE,"GPS",2013-09-07 12:05:16,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956753,50.221383,68.03965,1.25,23,"flight",TRUE,"GPS",2013-09-08 03:05:46,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956754,50.225233,68.038133,1.26,19,"flight",TRUE,"GPS",2013-09-08 07:56:00,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956755,49.92305,67.798317,1.8,94,"flight",TRUE,"GPS",2013-09-08 10:14:09,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956756,48.118117,67.25725,0.77,46,"stopover",TRUE,"GPS",2013-09-08 22:40:44,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956757,48.085683,67.254933,1.25,26,"stopover",TRUE,"GPS",2013-09-09 13:26:25,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956758,47.983217,67.121633,0.84,38,"stopover",TRUE,"GPS",2013-09-09 20:34:38,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956759,47.97325,67.125867,1.61,39,"stopover",TRUE,"GPS",2013-09-10 06:59:59,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956760,47.975883,67.125367,2.07,91,"stopover",TRUE,"GPS",2013-09-10 09:32:20,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
1149956761,47.974367,67.11255,0.88,28,"stopover",TRUE,"GPS",2013-09-10 11:50:45,"X767","X767","true",133992714,137254371,133992715,133992043,653,767,"Anser albifrons","fall-migration","Migration timing in white-fronted geese (data from Kölzsch et al. 2016)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"m",NA,"Anser albifrons","2013-09-05 18:33:37.000","2013-09-30 07:18:07.000",112,1,"gps",NA,"767_137254371"
